Player,Tm,Pos,NUM GAMES,MP,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS_40,YEAR
Whitney Boddie,SAC,G,4,9,8.4,1,0,0,0,0,0,5.8,0,50,9.8,0,0,0,0.002,2009
Kristi Cirone,CON,G,4,23,21.5,0.554,0.6,0.6,0,12.3,28.7,4.5,0,0,12.2,0.1,0.1,0.2,0.287,2009
Yolanda Griffith,IND,C-F,3,41,16.1,0.595,0,0.75,11.3,10.3,0,0,4.1,15.8,20.9,0.1,0,0.2,0.162,2009
Khadijah Whittington,IND,F,3,25,23.4,0.6,0,0,9.3,12.1,19.9,0,0,0,18,0.1,0,0.2,0.255,2009
La'Tangela Atkinson,SEA,G-F,2,46,20.1,0.282,0.125,0.25,17.3,25.2,18,11.9,2,31.1,13.2,-0.1,0.3,0.2,0.165,2009
A'Quonesia Franklin,SEA,G,2,20,-6.7,0,0.5,0,0,6.4,7.7,2.7,0,20,11.8,-0.1,0,-0.1,-0.2,2009
Erica White,IND,G,2,18,9,0.167,0.5,0,0,6.7,37.9,2.9,4.7,0,15,0,0,0,-0.004,2009
Lisa Willis,SAC,G,2,5,-31.2,0,0.5,0,0,0,0,0,0,33.3,26.5,-0.1,0,-0.1,-0.695,2009
Sherill Baker,DET,G,1,11,33.3,0.81,0,1,11,5.4,17.5,4.7,0,18.8,21.5,0.1,0,0.1,0.406,2009
Tanae Davis-Cain,DET,G,1,4,-0.8,0.184,0.6,0.2,60.4,30,0,0,0,0,60.4,-0.1,0,-0.1,-0.531,2009
Britany Miller,DET,C,1,8,-0.6,0,0,0,0,0,0,6.5,0,0,5.6,0,0,0,-0.041,2009
Plenette Pierson,DET,F,1,5,-5.2,0,0,0,0,0,0,10.4,17.5,0,17.8,0,0,0,-0.186,2009
Kelly Schumacher,DET,C,1,10,-0.3,,,,0,0,0,0,8.8,,0,0,0,0,0.025,2009
Kara Braxton,TOT,C-F,35,593,18.3,0.546,0.014,0.286,10.6,15.7,14.9,2.7,3,22.6,29.3,-0.2,0.5,0.3,0.018,2010
Svetlana Abrosimova,SEA,F,34,686,13,0.507,0.432,0.188,4.4,9.3,17.4,3.1,0.4,19.4,20.7,0.4,1.4,1.8,0.102,2010
Matee Ajavon,WAS,G,34,497,11.4,0.444,0.257,0.393,4.3,6.9,17,4.1,0.3,18.8,25.3,-0.4,1.1,0.7,0.056,2010
Alison Bales,ATL,C,34,529,14,0.547,0.124,0.557,6.5,13.4,7.4,2.2,5.5,16,11,0.8,1.3,2.1,0.155,2010
Mistie Bass,CHI,F,34,642,12.9,0.553,0.016,0.372,10.5,12.7,9.7,1.6,1.9,20.6,13.7,0.7,0.7,1.4,0.088,2010
Tully Bevilaqua,IND,G,34,659,9.4,0.506,0.642,0.2,3.4,6.8,13.3,3.8,0.5,23.5,11.8,0,1.4,1.4,0.087,2010
